id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-12-29 20:53:29,"{""short_code"":""hcvbQ7"",""original_url"":""https://acme.dev/gold/field/1""}"
2,2,171,created,2025-01-16 15:45:48,"{""short_code"":""ipA5VW"",""original_url"":""https://seeded.app/clear/island/2""}"
3,3,275,created,2025-02-09 17:45:52,"{""short_code"":""jfN4UP"",""original_url"":""https://hackstack.io/urban/canyon/3""}"
4,4,72,created,2025-04-20 08:35:58,"{""short_code"":""VJ3ywj"",""original_url"":""https://acme.dev/vivid/signal/4""}"
5,5,140,created,2025-08-23 15:36:25,"{""short_code"":""GoZ175"",""original_url"":""https://example.com/proud/field/5""}"
6,6,256,created,2025-05-30 03:25:56,"{""short_code"":""OAygSR"",""original_url"":""https://seeded.app/brisk/lagoon/6""}"
7,7,140,created,2025-05-02 08:08:49,"{""short_code"":""dapuBh"",""original_url"":""https://example.com/rapid/trail/7""}"
8,8,316,created,2026-01-24 22:22:27,"{""short_code"":""Iqpqce"",""original_url"":""https://acme.dev/keen/delta/8""}"
9,9,282,created,2025-12-09 00:03:32,"{""short_code"":""9Wnpm5"",""original_url"":""https://example.com/silver/beacon/9""}"
10,10,129,created,2025-03-12 20:12:15,"{""short_code"":""aOKjN7"",""original_url"":""https://opswise.net/ember/pioneer/10""}"
11,11,60,created,2025-04-18 01:22:49,"{""short_code"":""N49OIr"",""original_url"":""https://opswise.net/proud/journey/11""}"
12,12,144,created,2025-02-18 07:28:49,"{""short_code"":""3n5ZMC"",""original_url"":""https://seeded.app/keen/engine/12""}"
13,13,221,created,2025-01-20 23:58:40,"{""short_code"":""iqoDZr"",""original_url"":""https://opswise.net/jade/beacon/13""}"
14,14,121,created,2025-11-15 01:30:32,"{""short_code"":""nAI2hw"",""original_url"":""https://relay.cloud/gold/trail/14""}"
15,15,274,created,2025-04-09 01:33:51,"{""short_code"":""iNhh7e"",""original_url"":""https://seeded.app/vivid/garden/15""}"
16,16,264,created,2025-07-10 08:14:09,"{""short_code"":""Lwz9f5"",""original_url"":""https://acme.dev/tidy/engine/16""}"
17,17,178,created,2025-08-28 01:16:26,"{""short_code"":""IBzfiz"",""original_url"":""https://hackstack.io/ivory/zenith/17""}"
